country,customer_ID,invoice_number,invoice_date,due_date,invoice_amount_usd,disputed,dispute_lost,settled_date,days_to_settle,days_late
China,0379-NEVHP,611365,02/01/2021,01/02/2021,5594,0,0,15/01/2021,13,0
France,2621-XCLEH,6482427308,13/01/2020,12/02/2020,8099,1,0,14/03/2020,61,31
China,2820-XGXSB,9231909,03/07/2021,02/08/2021,6588,0,0,08/07/2021,5,0
France,9322-YCTQO,9888306,10/02/2021,12/03/2021,10592,0,0,17/03/2021,35,5
Russia,6627-ELFBK,15752855,25/10/2020,24/11/2020,7227,1,0,28/11/2020,34,4
Russia,5148-SYKLB,18104516,27/01/2020,26/02/2020,9400,1,0,22/02/2020,26,0
Spain,8690-EEBEO,23864272,13/08/2021,12/09/2021,7469,0,0,09/09/2021,27,0
United States,4460-ZXNDN,27545037,16/12/2020,15/01/2021,7506,0,0,12/01/2021,27,0
United States,3831-FXWYK,28049695,14/05/2020,13/06/2020,8007,1,0,01/07/2020,48,18
Spain,7654-DOLHO,32277701,01/07/2021,31/07/2021,4833,0,0,26/07/2021,25,0
United States,3993-QUNVJ,35868002,31/03/2020,30/04/2020,7533,0,0,16/04/2020,16,0
France,5284-DJOZO,36478577,07/08/2021,06/09/2021,7335,0,0,15/08/2021,8,0
Russia,5924-UOPGH,36620839,08/05/2021,07/06/2021,9008,1,0,09/06/2021,32,2
France,9117-LYRCE,41324194,21/10/2020,20/11/2020,5717,0,0,30/11/2020,40,10
Russia,7695-NKUXM,42511106,07/11/2020,07/12/2020,5002,0,0,18/11/2020,11,0
China,8820-BLYDZ,46372811,21/02/2021,23/03/2021,6196,0,0,28/02/2021,7,0
France,8976-AMJEO,46937392,16/05/2021,15/06/2021,6988,0,0,04/06/2021,19,0
Russia,5148-SYKLB,49331333,29/05/2021,28/06/2021,6880,1,0,10/07/2021,42,12
Russia,3568-JJMFW,52765186,20/10/2021,19/11/2021,9623,1,0,09/11/2021,20,0
Russia,5613-UHVMG,55416013,30/11/2020,30/12/2020,4201,1,0,16/01/2021,47,17
France,6833-ETVHD,57081728,04/11/2020,04/12/2020,8665,0,0,29/11/2020,25,0
United States,7758-WKLVM,57781566,24/06/2020,24/07/2020,7149,0,0,07/08/2020,44,14
Russia,6004-KITZM,58393139,06/01/2021,05/02/2021,8816,0,0,29/01/2021,23,0
China,9841-XLGBV,72380981,16/02/2021,18/03/2021,2644,0,0,06/03/2021,18,0
Spain,8690-EEBEO,75181247,18/02/2020,19/03/2020,8333,0,0,30/03/2020,41,11
China,8156-PCYBM,81932735,24/01/2020,23/02/2020,7270,0,0,03/03/2020,39,9
Russia,7946-HJDUR,86171934,29/05/2021,28/06/2021,4169,0,0,22/06/2021,24,0
United States,3831-FXWYK,93006859,24/12/2020,23/01/2021,2446,0,0,31/01/2021,38,8
France,3448-OWJOT,1297791719,15/01/2020,14/02/2020,4864,1,0,16/02/2020,32,2
Russia,8887-NCUZC,101415601,31/05/2020,30/06/2020,4007,0,0,04/07/2020,34,4
Spain,9286-VLKMI,101747306,27/05/2021,26/06/2021,5819,0,0,29/05/2021,2,0
France,6833-ETVHD,103483331,27/07/2020,26/08/2020,7213,0,0,18/08/2020,22,0
China,6160-HCSFI,104628267,13/01/2020,12/02/2020,7272,0,0,04/02/2020,22,0
China,1080-NDGAE,106360977,19/02/2020,20/03/2020,9348,1,0,26/03/2020,36,6
Spain,6296-UKEUZ,106486147,21/09/2021,21/10/2021,4655,0,0,25/09/2021,4,0
United States,6831-FIODB,110122785,23/10/2020,22/11/2020,3258,0,0,30/11/2020,38,8
Spain,6296-UKEUZ,120364375,23/04/2021,23/05/2021,3463,0,0,24/04/2021,1,0
Russia,5148-SYKLB,121797094,28/09/2020,28/10/2020,8915,0,0,30/10/2020,32,2
China,0379-NEVHP,122662308,05/08/2021,04/09/2021,4364,0,0,21/08/2021,16,0
United States,7758-WKLVM,123645023,22/12/2020,21/01/2021,4436,0,0,24/01/2021,33,3
United States,3993-QUNVJ,131216793,01/02/2021,03/03/2021,5665,0,0,05/02/2021,4,0
China,9174-IYKOC,135429278,02/08/2020,01/09/2020,5820,0,0,24/08/2020,22,0
China,2676-DZINU,145315244,19/08/2021,18/09/2021,8305,0,0,06/09/2021,18,0
China,9014-WENVB,152050637,13/02/2021,15/03/2021,6003,0,0,11/03/2021,26,0
France,6833-ETVHD,152808559,11/09/2020,11/10/2020,5901,0,0,29/09/2020,18,0
France,1447-YZKCL,173814675,27/04/2021,27/05/2021,6685,0,0,27/05/2021,30,0
Russia,8364-UWVLM,176356154,20/08/2020,19/09/2020,7883,1,0,03/10/2020,44,14
United States,9323-NDIOV,176953642,10/09/2021,10/10/2021,6500,0,0,17/10/2021,37,7
China,5920-DPXLN,176959210,30/08/2020,29/09/2020,5718,0,0,19/09/2020,20,0
China,6708-DPYTF,180192586,02/08/2020,01/09/2020,7465,0,0,18/09/2020,47,17
China,9014-WENVB,186123387,09/06/2020,09/07/2020,5985,0,0,08/07/2020,29,0
